id,name,commonName,emoji,category,family,climate,difficulty,growthTime
orange-1,"Citrus sinensis","Orange",🍊,"Fruit","Rutaceae","Tropical","Medium","3 years"
lemon-1,"Citrus limon","Lemon",🍋,"Fruit","Rutaceae","Tropical","Medium","3 years"
lime-1,"Citrus aurantifolia","Lime",🍋,"Fruit","Rutaceae","Tropical","Medium","3 years"
grape-1,"Vitis vinifera","Grape",🍇,"Fruit","Vitaceae","Temperate","Medium","3 years"
raspberry-1,"Rubus idaeus","Raspberry",🫐,"Fruit","Rosaceae","Temperate","Easy","2 years"
blueberry-1,"Vaccinium corymbosum","Blueberry",🫐,"Fruit","Ericaceae","Temperate","Medium","3 years"
blackberry-1,"Rubus fruticosus","Blackberry",🫐,"Fruit","Rosaceae","Temperate","Easy","2 years"
cherry-1,"Prunus avium","Cherry",🍒,"Fruit","Rosaceae","Temperate","Medium","4 years"
peach-1,"Prunus persica","Peach",🍑,"Fruit","Rosaceae","Temperate","Medium","3 years"
plum-1,"Prunus domestica","Plum",🫐,"Fruit","Rosaceae","Temperate","Medium","3 years"
apricot-1,"Prunus armeniaca","Apricot",🍑,"Fruit","Rosaceae","Temperate","Medium","3 years"
pear-1,"Pyrus communis","Pear",🍐,"Fruit","Rosaceae","Temperate","Medium","4 years"
fig-1,"Ficus carica","Fig",🫘,"Fruit","Moraceae","Mediterranean","Easy","3 years"
pineapple-1,"Ananas comosus","Pineapple",🍍,"Fruit","Bromeliaceae","Tropical","Medium","2 years"
mango-1,"Mangifera indica","Mango",🥭,"Fruit","Anacardiaceae","Tropical","Medium","4 years"
avocado-1,"Persea americana","Avocado",🥑,"Fruit","Lauraceae","Tropical","Medium","5 years"
kiwi-1,"Actinidia deliciosa","Kiwi",🥝,"Fruit","Actinidiaceae","Temperate","Medium","3 years"
pomegranate-1,"Punica granatum","Pomegranate",🫘,"Fruit","Lythraceae","Mediterranean","Medium","3 years"
watermelon-1,"Citrullus lanatus","Watermelon",🍉,"Fruit","Cucurbitaceae","Tropical","Easy","1 year"
cantaloupe-1,"Cucumis melo","Cantaloupe",🍈,"Fruit","Cucurbitaceae","Tropical","Easy","1 year"
honeydew-1,"Cucumis melo","Honeydew",🍈,"Fruit","Cucurbitaceae","Tropical","Easy","1 year"
mint-1,"Mentha spicata","Mint",🌿,"Herb","Lamiaceae","Temperate","Easy","1 year"
rosemary-1,"Rosmarinus officinalis","Rosemary",🌿,"Herb","Lamiaceae","Mediterranean","Easy","1 year"
thyme-1,"Thymus vulgaris","Thyme",🌿,"Herb","Lamiaceae","Mediterranean","Easy","1 year"
sage-1,"Salvia officinalis","Sage",🌿,"Herb","Lamiaceae","Mediterranean","Easy","1 year"
oregano-1,"Origanum vulgare","Oregano",🌿,"Herb","Lamiaceae","Mediterranean","Easy","1 year"
parsley-1,"Petroselinum crispum","Parsley",🌿,"Herb","Apiaceae","Temperate","Easy","1 year"
cilantro-1,"Coriandrum sativum","Cilantro",🌿,"Herb","Apiaceae","Temperate","Easy","1 year"
dill-1,"Anethum graveolens","Dill",🌿,"Herb","Apiaceae","Temperate","Easy","1 year"
chives-1,"Allium schoenoprasum","Chives",🌿,"Herb","Amaryllidaceae","Temperate","Easy","1 year"
bay-1,"Laurus nobilis","Bay Leaf",🌿,"Herb","Lauraceae","Mediterranean","Medium","3 years"
lavender-1,"Lavandula angustifolia","Lavender",🌿,"Herb","Lamiaceae","Mediterranean","Easy","1 year"
chamomile-1,"Matricaria chamomilla","Chamomile",🌿,"Herb","Asteraceae","Temperate","Easy","1 year"
lemon-balm-1,"Melissa officinalis","Lemon Balm",🌿,"Herb","Lamiaceae","Temperate","Easy","1 year"
almond-1,"Prunus dulcis","Almond",🫘,"Nut","Rosaceae","Mediterranean","Medium","5 years"
walnut-1,"Juglans regia","Walnut",🫘,"Nut","Juglandaceae","Temperate","Medium","8 years"
pecan-1,"Carya illinoinensis","Pecan",🫘,"Nut","Juglandaceae","Temperate","Medium","8 years"
hazelnut-1,"Corylus avellana","Hazelnut",🫘,"Nut","Betulaceae","Temperate","Medium","4 years"
pistachio-1,"Pistacia vera","Pistachio",🫘,"Nut","Anacardiaceae","Mediterranean","Medium","6 years"
cashew-1,"Anacardium occidentale","Cashew",🫘,"Nut","Anacardiaceae","Tropical","Medium","5 years"
macadamia-1,"Macadamia integrifolia","Macadamia",🫘,"Nut","Proteaceae","Tropical","Medium","7 years"
cinnamon-1,"Cinnamomum verum","Cinnamon",🌿,"Spice","Lauraceae","Tropical","Medium","5 years"
nutmeg-1,"Myristica fragrans","Nutmeg",🌿,"Spice","Myristicaceae","Tropical","Medium","7 years"
cloves-1,"Syzygium aromaticum","Cloves",🌿,"Spice","Myrtaceae","Tropical","Medium","6 years"
ginger-1,"Zingiber officinale","Ginger",🫚,"Spice","Zingiberaceae","Tropical","Easy","1 year"
turmeric-1,"Curcuma longa","Turmeric",🫚,"Spice","Zingiberaceae","Tropical","Easy","1 year"
cardamom-1,"Elettaria cardamomum","Cardamom",🌿,"Spice","Zingiberaceae","Tropical","Medium","3 years"
saffron-1,"Crocus sativus","Saffron",🌿,"Spice","Iridaceae","Mediterranean","Hard","1 year"
vanilla-1,"Vanilla planifolia","Vanilla",🌿,"Spice","Orchidaceae","Tropical","Hard","3 years"
sunflower-1,"Helianthus annuus","Sunflower",🌻,"Flower","Asteraceae","Temperate","Easy","1 year"
rose-1,"Rosa spp.","Rose",🌹,"Flower","Rosaceae","Temperate","Medium","2 years"
tulip-1,"Tulipa gesneriana","Tulip",🌷,"Flower","Liliaceae","Temperate","Easy","1 year"
daffodil-1,"Narcissus pseudonarcissus","Daffodil",🌼,"Flower","Amaryllidaceae","Temperate","Easy","1 year"
lily-1,"Lilium spp.","Lily",🌸,"Flower","Liliaceae","Temperate","Medium","2 years"
orchid-1,"Orchidaceae spp.","Orchid",🌸,"Flower","Orchidaceae","Tropical","Hard","2 years"
marigold-1,"Tagetes spp.","Marigold",🌼,"Flower","Asteraceae","Temperate","Easy","1 year"
zinnia-1,"Zinnia elegans","Zinnia",🌼,"Flower","Asteraceae","Temperate","Easy","1 year"
petunia-1,"Petunia hybrida","Petunia",🌸,"Flower","Solanaceae","Temperate","Easy","1 year"
begonia-1,"Begonia spp.","Begonia",🌸,"Flower","Begoniaceae","Tropical","Easy","1 year"
impatiens-1,"Impatiens walleriana","Impatiens",🌸,"Flower","Balsaminaceae","Tropical","Easy","1 year"
pansy-1,"Viola tricolor","Pansy",🌸,"Flower","Violaceae","Temperate","Easy","1 year"
violet-1,"Viola odorata","Violet",🌸,"Flower","Violaceae","Temperate","Easy","1 year"
daisy-1,"Bellis perennis","Daisy",🌼,"Flower","Asteraceae","Temperate","Easy","1 year"
chrysanthemum-1,"Chrysanthemum morifolium","Chrysanthemum",🌸,"Flower","Asteraceae","Temperate","Medium","1 year"
carnation-1,"Dianthus caryophyllus","Carnation",🌸,"Flower","Caryophyllaceae","Temperate","Easy","1 year"
geranium-1,"Pelargonium spp.","Geranium",🌸,"Flower","Geraniaceae","Temperate","Easy","1 year"
coleus-1,"Plectranthus scutellarioides","Coleus",🌿,"Flower","Lamiaceae","Tropical","Easy","1 year"
snapdragon-1,"Antirrhinum majus","Snapdragon",🌸,"Flower","Plantaginaceae","Temperate","Easy","1 year"
calendula-1,"Calendula officinalis","Calendula",🌼,"Flower","Asteraceae","Temperate","Easy","1 year"
nasturtium-1,"Tropaeolum majus","Nasturtium",🌸,"Flower","Tropaeolaceae","Temperate","Easy","1 year"
cosmos-1,"Cosmos bipinnatus","Cosmos",🌸,"Flower","Asteraceae","Temperate","Easy","1 year"
alyssum-1,"Lobularia maritima","Alyssum",🌸,"Flower","Brassicaceae","Temperate","Easy","1 year"
lobelia-1,"Lobelia erinus","Lobelia",🌸,"Flower","Campanulaceae","Temperate","Easy","1 year"
verbena-1,"Verbena bonariensis","Verbena",🌸,"Flower","Verbenaceae","Temperate","Easy","1 year"
salvia-1,"Salvia splendens","Salvia",🌸,"Flower","Lamiaceae","Temperate","Easy","1 year"
dianthus-1,"Dianthus barbatus","Dianthus",🌸,"Flower","Caryophyllaceae","Temperate","Easy","1 year"
delphinium-1,"Delphinium elatum","Delphinium",🌸,"Flower","Ranunculaceae","Temperate","Medium","2 years"
foxglove-1,"Digitalis purpurea","Foxglove",🌸,"Flower","Plantaginaceae","Temperate","Medium","2 years"
hollyhock-1,"Alcea rosea","Hollyhock",🌸,"Flower","Malvaceae","Temperate","Easy","2 years"
peony-1,"Paeonia lactiflora","Peony",🌸,"Flower","Paeoniaceae","Temperate","Medium","3 years"
iris-1,"Iris germanica","Iris",🌸,"Flower","Iridaceae","Temperate","Easy","2 years"
daylily-1,"Hemerocallis fulva","Daylily",🌸,"Flower","Asphodelaceae","Temperate","Easy","2 years"
hosta-1,"Hosta spp.","Hosta",🌿,"Flower","Asparagaceae","Temperate","Easy","2 years"
astilbe-1,"Astilbe chinensis","Astilbe",🌸,"Flower","Saxifragaceae","Temperate","Easy","2 years"
bleeding-heart-1,"Dicentra spectabilis","Bleeding Heart",🌸,"Flower","Papaveraceae","Temperate","Easy","2 years"
columbine-1,"Aquilegia vulgaris","Columbine",🌸,"Flower","Ranunculaceae","Temperate","Easy","2 years"
coral-bells-1,"Heuchera sanguinea","Coral Bells",🌸,"Flower","Saxifragaceae","Temperate","Easy","2 years"
sedum-1,"Sedum spectabile","Sedum",🌿,"Flower","Crassulaceae","Temperate","Easy","2 years"
yarrow-1,"Achillea millefolium","Yarrow",🌸,"Flower","Asteraceae","Temperate","Easy","1 year"
cone-flower-1,"Echinacea purpurea","Coneflower",🌸,"Flower","Asteraceae","Temperate","Easy","2 years"
black-eyed-susan-1,"Rudbeckia hirta","Black-eyed Susan",🌸,"Flower","Asteraceae","Temperate","Easy","2 years"
shasta-daisy-1,"Leucanthemum maximum","Shasta Daisy",🌸,"Flower","Asteraceae","Temperate","Easy","2 years"
coreopsis-1,"Coreopsis lanceolata","Coreopsis",🌸,"Flower","Asteraceae","Temperate","Easy","2 years"
gaillardia-1,"Gaillardia aristata","Gaillardia",🌸,"Flower","Asteraceae","Temperate","Easy","2 years"
blanket-flower-1,"Gaillardia pulchella","Blanket Flower",🌸,"Flower","Asteraceae","Temperate","Easy","2 years"
butterfly-weed-1,"Asclepias tuberosa","Butterfly Weed",🌸,"Flower","Apocynaceae","Temperate","Easy","2 years"
milkweed-1,"Asclepias syriaca","Milkweed",🌸,"Flower","Apocynaceae","Temperate","Easy","2 years"
bee-balm-1,"Monarda didyma","Bee Balm",🌸,"Flower","Lamiaceae","Temperate","Easy","2 years"
catmint-1,"Nepeta cataria","Catmint",🌸,"Flower","Lamiaceae","Temperate","Easy","2 years"
russian-sage-1,"Perovskia atriplicifolia","Russian Sage",🌸,"Flower","Lamiaceae","Temperate","Easy","2 years"
balloon-flower-1,"Platycodon grandiflorus","Balloon Flower",🌸,"Flower","Campanulaceae","Temperate","Easy","2 years"
bellflower-1,"Campanula medium","Bellflower",🌸,"Flower","Campanulaceae","Temperate","Easy","2 years"
candytuft-1,"Iberis sempervirens","Candytuft",🌸,"Flower","Brassicaceae","Temperate","Easy","2 years"
rock-cress-1,"Arabis caucasica","Rock Cress",🌸,"Flower","Brassicaceae","Temperate","Easy","2 years"
sweet-alyssum-1,"Lobularia maritima","Sweet Alyssum",🌸,"Flower","Brassicaceae","Temperate","Easy","1 year"
wallflower-1,"Erysimum cheiri","Wallflower",🌸,"Flower","Brassicaceae","Temperate","Easy","2 years"
stock-1,"Matthiola incana","Stock",🌸,"Flower","Brassicaceae","Temperate","Easy","1 year"
snapdragon-2,"Antirrhinum majus","Snapdragon",🌸,"Flower","Plantaginaceae","Temperate","Easy","1 year"
foxglove-2,"Digitalis purpurea","Foxglove",🌸,"Flower","Plantaginaceae","Temperate","Medium","2 years"
penstemon-1,"Penstemon digitalis","Penstemon",🌸,"Flower","Plantaginaceae","Temperate","Easy","2 years"
veronica-1,"Veronica spicata","Veronica",🌸,"Flower","Plantaginaceae","Temperate","Easy","2 years"
speedwell-1,"Veronica longifolia","Speedwell",🌸,"Flower","Plantaginaceae","Temperate","Easy","2 years"
butterfly-bush-1,"Buddleja davidii","Butterfly Bush",🌸,"Flower","Scrophulariaceae","Temperate","Easy","2 years"
weigela-1,"Weigela florida","Weigela",🌸,"Flower","Caprifoliaceae","Temperate","Easy","2 years"
spirea-1,"Spiraea japonica","Spirea",🌸,"Flower","Rosaceae","Temperate","Easy","2 years"
forsythia-1,"Forsythia suspensa","Forsythia",🌸,"Flower","Oleaceae","Temperate","Easy","2 years"
lilac-1,"Syringa vulgaris","Lilac",🌸,"Flower","Oleaceae","Temperate","Easy","3 years"
viburnum-1,"Viburnum opulus","Viburnum",🌸,"Flower","Adoxaceae","Temperate","Easy","3 years"
hydrangea-1,"Hydrangea macrophylla","Hydrangea",🌸,"Flower","Hydrangeaceae","Temperate","Easy","2 years"
azalea-1,"Rhododendron spp.","Azalea",🌸,"Flower","Ericaceae","Temperate","Medium","3 years"
rhododendron-1,"Rhododendron catawbiense","Rhododendron",🌸,"Flower","Ericaceae","Temperate","Medium","3 years"
camellia-1,"Camellia japonica","Camellia",🌸,"Flower","Theaceae","Temperate","Medium","3 years"
gardenia-1,"Gardenia jasminoides","Gardenia",🌸,"Flower","Rubiaceae","Tropical","Medium","3 years"
jasmine-1,"Jasminum officinale","Jasmine",🌸,"Flower","Oleaceae","Temperate","Easy","2 years"
wisteria-1,"Wisteria sinensis","Wisteria",🌸,"Flower","Fabaceae","Temperate","Medium","3 years"
clematis-1,"Clematis spp.","Clematis",🌸,"Flower","Ranunculaceae","Temperate","Medium","2 years"
morning-glory-1,"Ipomoea purpurea","Morning Glory",🌸,"Flower","Convolvulaceae","Temperate","Easy","1 year"
moonflower-1,"Ipomoea alba","Moonflower",🌸,"Flower","Convolvulaceae","Tropical","Easy","1 year"
nasturtium-2,"Tropaeolum majus","Nasturtium",🌸,"Flower","Tropaeolaceae","Temperate","Easy","1 year"
sweet-pea-1,"Lathyrus odoratus","Sweet Pea",🌸,"Flower","Fabaceae","Temperate","Easy","1 year"
climbing-rose-1,"Rosa climbing","Climbing Rose",🌹,"Flower","Rosaceae","Temperate","Medium","2 years"
rambling-rose-1,"Rosa rambling","Rambling Rose",🌹,"Flower","Rosaceae","Temperate","Medium","2 years"
miniature-rose-1,"Rosa miniature","Miniature Rose",🌹,"Flower","Rosaceae","Temperate","Easy","1 year"
floribunda-rose-1,"Rosa floribunda","Floribunda Rose",🌹,"Flower","Rosaceae","Temperate","Medium","2 years"
hybrid-tea-rose-1,"Rosa hybrid tea","Hybrid Tea Rose",🌹,"Flower","Rosaceae","Temperate","Medium","2 years"
grandiflora-rose-1,"Rosa grandiflora","Grandiflora Rose",🌹,"Flower","Rosaceae","Temperate","Medium","2 years"
shrub-rose-1,"Rosa shrub","Shrub Rose",🌹,"Flower","Rosaceae","Temperate","Easy","2 years"
old-garden-rose-1,"Rosa old garden","Old Garden Rose",🌹,"Flower","Rosaceae","Temperate","Medium","3 years"
english-rose-1,"Rosa english","English Rose",🌹,"Flower","Rosaceae","Temperate","Medium","2 years"
david-austin-rose-1,"Rosa david austin","David Austin Rose",🌹,"Flower","Rosaceae","Temperate","Medium","2 years"
knock-out-rose-1,"Rosa knock out","Knock Out Rose",🌹,"Flower","Rosaceae","Temperate","Easy","2 years"
easy-elegance-rose-1,"Rosa easy elegance","Easy Elegance Rose",🌹,"Flower","Rosaceae","Temperate","Easy","2 years"
carefree-rose-1,"Rosa carefree","Carefree Rose",🌹,"Flower","Rosaceae","Temperate","Easy","2 years"
meidiland-rose-1,"Rosa meidiland","Meidiland Rose",🌹,"Flower","Rosaceae","Temperate","Easy","2 years"
drift-rose-1,"Rosa drift","Drift Rose",🌹,"Flower","Rosaceae","Temperate","Easy","2 years"
groundcover-rose-1,"Rosa groundcover","Groundcover Rose",🌹,"Flower","Rosaceae","Temperate","Easy","2 years"
tree-rose-1,"Rosa tree","Tree Rose",🌹,"Flower","Rosaceae","Temperate","Medium","3 years"
standard-rose-1,"Rosa standard","Standard Rose",🌹,"Flower","Rosaceae","Temperate","Medium","3 years"
weeping-rose-1,"Rosa weeping","Weeping Rose",🌹,"Flower","Rosaceae","Temperate","Medium","3 years"
